SIGLA	DISCIPLINA	RECOMENDAÇÃO
NHT5013-22	Práticas de Ensino de Ciências e Matemática no Ensino Fundamental	Educação Científica, Sociedade e Cultura; Didática; Desenvolvimento e Aprendizagem; Políticas Educacionais
NHLP001-22	Práticas de Ensino de Física I	Educação científica, Sociedade e Cultura; Didática; Desenvolvimento e Aprendizagem; Políticas Educacionais
NHLP002-22	Práticas de Ensino de Física II	Educação científica, Sociedade e Cultura ; Didática; Desenvolvimento e Aprendizagem; Políticas Educacionais
NHT3091-15	Práticas de Ensino de Física III	Educação Científica, Sociedade e Cultura; Didática; Desenvolvimento e Aprendizagem; Políticas Educacionais
NHLP003-22	Práticas de Ensino de Física no Ensino Fundamental II	Não há
LHZ0027-19	Práticas de Ensino de Geografia: Currículos	Não há
LHZ0028-19	Práticas de Ensino de Geografia: Metodologias	Não há
LHZ0029-19	Práticas de Ensino de Geografia: Programas de Ensino	Não há
LHZ0030-19	Práticas de Ensino de História: Currículos	Não há
LHZ0031-19	Práticas de Ensino de História: Metodologias	Não há
LHZ0032-19	Práticas de Ensino de História: Programas de Ensino	Não há
MCTD016-18	Práticas de Ensino de Matemática I	Práticas de Ensino de Ciências e Matemática no Ensino Fundamental; Práticas de Ensino de Matemática I
MCTD017-18	Práticas de Ensino de Matemática II	Práticas de Ensino de Ciências e Matemática no Ensino Fundamental; Práticas de Ensino de Matemática I
MCTD018-18	Práticas de Ensino de Matemática III	Práticas de Ensino de Ciências e Matemática no Ensino Fundamental; Práticas de Ensino de Matemática I; Práticas de Ensino de Matemática II
MCTD019-18	Práticas de Ensino de Matemática IV	Práticas de Ensino de Ciências e Matemática no Ensino Fundamental; Práticas de Ensino de Matemática I; Práticas de Ensino de Matemática II; Práticas de Ensino de Matemática III
NHLQ002-22	Práticas de Ensino de Química I	Transformações Químicas
NHLQ003-22	Práticas de Ensino de Química II	Transformações Químicas
NHT4032-15	Práticas de Ensino de Química III	Transformações Químicas; Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas; Práticas de Ensino de Química I
LHZ0043-22	Práticas de leituras em Ciências Humanas	Não há
NHZ1096-19	Práticas Discursivas da Ciência e Educação em Ciências	Não há
BHS0005-19	Práticas em Ciências e Humanidades	Não há
NHZ5022-18	Práticas em LIBRAS	LIBRAS
MCZC017-20	Práticas em Neurobiologia Molecular	Introdução à Neurociência ou Morfofisiologia Humana I; Neuroanatomia; Neurobiologia Molecular e Celular
NHBQ023-22	Práticas em Química Analítica	É recomendado que o aluno tenha sido aprovado nas disciplinas: Transformações Químicas; Química Analítica Clássica I; Química Analítica Clássica II; Espectroanalítica Molecular e Atômica; Técnicas Analíticas de Separação; Eletroanalítica e Instrumentação em Química; Quimiometria
NHT4033-15	Práticas em Química Verde	Não há
NHZ3096-22	Práticas em Textos Históricos das Ciências	História e Filosofia das Ciências e o Ensino de Ciências
NHZ5023-18	Práticas Escolares em Educação Especial e Inclusiva	Não há
ESZT020-17	Práticas Especiais do Planejamento Territorial	Cartografia e Geoprocessamento para o Planejamento Territorial
NHBT005-23	Práticas Extensionistas em Biotecnologia	Não há
BHS0009-23	Práticas Extensionistas em Economia	Não há
ESZP059-22	Práticas Extensionistas em Políticas Públicas	Não há
ESZP060-22	Práticas Extensionistas em Políticas Públicas II	Não há
ESZP061-22	Práticas Extensionistas em Políticas Públicas III	Não há
NHZ1097-19	Práticas pedagógicas e formativas em museus de ciências	Não há
NHLF003-22	Práticas teatrais como recurso didático	Não se aplica
BHS0010-23	Práticas Territoriais	Não há
NHZ2140-18	Primórdios da Filosofia e Ciência Antiga	Não há
ESTO012-17	Princípios de Administração	Não há
ESTI004-17	Princípios de Comunicação	Transformadas em Sinais e Sistemas Lineares
ESTB015-17	Princípios de Ética em Serviços de Saúde	Não há
NHBT003-23	Princípios de Fisiologia para Biotecnologia	Transformações Químicas; Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas; Biologia Celular; Genética I
ESTB009-17	Princípios de Imagens Médicas	Fenômenos Eletromagnéticos; Física Médica I; Física Médica II
NHT3048-15	Princípios de Mecânica Quântica	Fenômenos Eletromagnéticos; Física Quântica
NHBP011-23	Princípios de Termodinâmica	Fenômenos Térmicos; Funções de Várias Variáveis 
MCTB021-17	Probabilidade	Cálculo de Probabilidade; Teoria da Medida e Integração
ESZA005-17	Processadores Digitais em Controle e Automação	Processamento Digital de Sinais
BCM0505-22	Processamento da Informação	Bases Computacionais da Ciência
ESZB010-17	Processamento de Imagens Médicas	Princípios de Imagens Médicas; Métodos Matemáticos aplicados a Sistemas Biomédicos
MCZA041-17	Processamento de Imagens Utilizando GPU	Matemática Discreta; Algoritmos e Estruturas de Dados I
ESZI003-17	Processamento de Informação em Línguas Naturais	Natureza da Informação; Introdução à Linguística Computacional
MCZA017-13	Processamento de Linguagem Natural	Inteligência Artificial
ESZM039-17	Processamento de Materiais Cerâmicos	Materiais Cerâmicos
ESZM037-17	Processamento de Polímeros	Materiais Poliméricos; Reologia
MCNC003-23	Processamento de Sinais Neurais	Processamento da Informação; Introdução à Neurociência
ESZI032-17	Processamento de Vídeo	Codificação de Sinais Multimídia
MCZA018-17	Processamento Digital de Imagens	Processamento da Informação
ESTI006-17	Processamento Digital de Sinais	Transformadas em Sinais e Sistemas Lineares
ESZB004-17	Processamento e Análise de Falhas em Biomateriais	Ciência dos Materiais Biocompatíveis; Caracterização de Biomateriais
ESZB003-17	Processamento e Análise de Sinais Biomédicos	Instrumentação Biomédica I; Bases Biológicas para Engenharia II; Métodos Matemáticos aplicados a Sistemas Biomédicos
ESZM040-17	Processamento e Conformação de Metais I	Materiais Metálicos
ESZM041-17	Processamento e Conformação de Metais II	Materiais Metálicos
MCZA042-17	Processo e Desenvolvimento de Softwares Educacionais	Processamento da Informação
NHBT006-23	Processos Biotecnológicos Para Produção de Biocombustíveis	Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas; Microbiologia; Fenômenos Térmicos; Tecnologia de Fermentações
MCZB028-13	Processos Estocásticos	Análise Real II; Cálculo de Probabilidade
NHZ4064-15	Processos Industriais Cerâmicos	Não há
NHZ4035-15	Processos Industriais Orgânicos e Inorgânicos	Não há
ESZE031-17	Processos Termoquímicos de Conversão Energética	Termodinâmica Aplicada I; Termodinâmica Aplicada II
MCZA033-17	Programação Avançada para Dispositivos Móveis	Algoritmos e Estruturas de Dados I; Programação Orientada a Objetos; Programação para Web
ESZI043-17	Programação Baseada em Componentes para Jogos	Programação Estruturada
ESZI033-17	Programação de Dispositivos Móveis	Programação Estruturada
ESZI041-17	Programação de Software Embarcado	Programação Estruturada; Sistemas Microprocessados
MCTA028-15	Programação Estruturada	Processamento da Informação
MCCC015-23	Programação Funcional	Algoritmos e Estrutura de Dados I; Programação Estruturada;  Processamento da Informação
MCTA018-13	Programação Orientada a Objetos	Programação Estruturada; Processamento da Informação
MCZA019-17	Programação para Web	Programação Orientada a Objetos; Banco de Dados
MCZA020-13	Programação Paralela	Paradigmas de Programação
MCZA034-17	Programação Segura	Algoritmos e Estruturas de Dados I
MCTC009-15	Progressos e Métodos em Neurociência	Introdução à Neurociência ou Morfofisiologia Humana I; Neurobiologia Molecular e Celular
ESTU040-17	Projeto Ambiental Urbano	Recomendada para o final do curso
ESTA019-17	Projeto Assistido por Computador	Fundamentos de Desenho Técnico
MCZA054-22	Projeto Avançado em Sistemas de Computação	Algoritmos e Estruturas de Dados I; Circuitos Digitais; Sistemas Digitais; Arquitetura de Computadores; Sistemas Operacionais; Compiladores
ESZS028-17	Projeto de Aeronaves I	Aeronáutica I-A; Aerodinâmica I; Sistemas de Propulsão I; Fundamentos de Desenho Técnico; Mecânica dos Sólidos I
ESZI036-17	Projeto de Alta Frequência	Sistemas de Micro-ondas
ESZA024-17	Projeto de Controle Discreto	Introdução ao Controle Discreto
ESTS013-17	Projeto de Elementos Estruturais de Aeronaves I	Técnicas de Análise Estrutural e Projeto
ESZS015-17	Projeto de Elementos Estruturais de Aeronaves II	Projeto de Elementos Estruturais de Aeronaves I
ESZI016-17	Projeto de Filtros Digitais	Processamento Digital de Sinais
ESZE113-17	Projeto de Geradores Elétricos para Energia Eólica	Engenharia Eólica; Fundamentos de Conversão de Energia Elétrica
ESZA014-17	Projeto de Microdispositivos para Instrumentação	Sensores e transdutores
ESZE112-17	Projeto de Microturbinas Eólicas	Engenharia Eólica
MCZA021-17	Projeto de Redes	Redes de Computadores
ESZI023-17	Projeto de Sistemas de Comunicação	Princípios de Comunicação; Comunicação Digital
ESZI038-17	Projeto de Sistemas Multimídia	Codificação de Sinais Multimídia; Processamento de Vídeo; Introdução ao Processamento de Sinais de Voz e Áudio
BCS0002-15	Projeto Dirigido	Bases Matemáticas; Bases Computacionais da Ciência; Base Experimental das Ciências Naturais; Estrutura da Matéria; Evolução e Diversificação da Vida na Terra; Transformações Químicas; Biodiversidade: Interações entre organismos e ambiente; Bioquímica: estrutura, propriedade e funções de biomoléculas; Natureza da Informação; Processamento da Informação; Comunicação e Redes; Funções de Uma Variável; Geometria Analítica; Funções de Várias Variáveis; Introdução às Equações Diferenciais Ordinárias; Introdução à Probabilidade e à Estatística; Fenômenos Mecânicos; Fenômenos Térmicos; Fenômenos Eletromagnéticos; Física Quântica; Estrutura e Dinâmica Social ; Bases Epistemológicas da Ciência Moderna; Ciência Tecnologia e Sociedade
ESZB037-17	Projeto e Análise de Próteses e Órteses	Modelagem de Sistemas Dinâmicos II; Biomecânica II; Ciência dos Materiais Biocompatíveis
ESZB033-17	Projeto e Desenvolvimento de Interfaces Cérebro-Máquina	Métodos Matemáticos Aplicados a Sistemas Biomédicos; Computação Científica Aplicada a Problemas Biológicos; Instrumentação Biomédica I
ESZB017-17	Projeto e Desenvolvimento de Sistemas para Análise de Dados Médicos	Processamento da Informação; Álgebra Linear; Análise e Controle de Sistemas Mecânicos; Bases Biológicas para Engenharia I; Bases Biológicas para Engenharia II; Bioestatística; Biologia Celular; Biomecânica I; Biomecânica II; Biossegurança; Cálculo Numérico; Ciência dos Materiais Biocompatíveis; Circuitos Elétricos I; Computação Científica Aplicada a Problemas Biológicos; Engenharia Econômica; Engenharia Unificada I; Engenharia Unificada II; Equipamentos Médico-Hospitalares; Estágio Curricular em Engenharia Biomédica; Fenômenos de Transporte; Física Médica I; Física Médica II; Fundamentos de Desenho Técnico; Fundamentos de Eletrônica Analógica e Digital; Instrumentação Biomédica I; Introdução às Engenharias; Legislação Relacionada à Saúde; Materiais e Suas Propriedades; Mecânica dos Sólidos I; Métodos Experimentais em Engenharia; Métodos Matemáticos Aplicados a Sistemas Biomédicos; Modelagem de Sistemas Dinâmicos I; Modelagem de Sistemas Dinâmicos II; Princípios de Administração; Princípios de Ética em Serviços de Saúde; Princípios de Imagens Médicas; Sensores Biomédicos; Trabalho de Graduação I em Engenharia Biomédica; Trabalho de Graduação II em Engenharia Biomédica; Trabalho de Graduação III em Engenharia Biomédica
MCZA022-17	Projeto Interdisciplinar	Não há
ESZG043-17	Projeto Virtual e Integrado de Manufatura	Sistemas CAD/CAE; Sistemas CAM; Tempos, Métodos e Arranjos Físicos
MCZD005-18	Projetos de Ensino de Matemática e Ciências com Arte	Bases Epistemológicas da Ciência Moderna; Didática
ESZG012-17	Projetos Industriais	Desenvolvimento Integrado do Produto; Elaboração, Análise e Avaliação de Projetos
ESZI039-17	Propagação e Antenas	Ondas Eletromagnéticas Aplicadas
ESTG025-17	Propriedade Intelectual	Ciência, Tecnologia e Sociedade
ESTM019-17	Propriedades Elétricas, Magnéticas e Ópticas	Ciência dos Materiais
NHZ3085-15	Propriedades Magnéticas e Eletrônicas	Mecânica Quântica I; Estado Sólido
ESTM010-17	Propriedades Mecânicas e Térmicas	Fenômenos Térmicos; Ciência dos Materiais
ESZS033-17	Propulsão Aeroespacial Não-Convencional	Sistemas de Propulsão I
ESZE076-17	Proteção de Sistemas Elétricos de Potência	Sistemas de Potência II
NHZ6006-18	Proteínas Recombinantes	Biologia Molecular e Biotecnologia; Bioquímica: estrutura, propriedades e funções de biomoléculas; Microbiologia
NHZ2113-18	Provas e Modelos	Lógica básica
MCTC011-15	Psicologia Cognitiva	Bases Epistemológicas da Ciência Moderna
LHZ0033-19	Psicologia Da Educação: Aprendizagem	Não há
LHZ0034-19	Psicologia do Desenvolvimento: Infância, Juventude, Vida Adulta e Envelhecimento	Não há
MCTC020-15	Psicologia Experimental	Psicologia Cognitiva; Base Experimental das Ciências Naturais
MCZC022-20	Psicometria	Introdução à Probabilidade e à Estatística; Psicologia Cognitiva
MCZC018-20	Psicopatologia	Introdução à Neurociência ou Morfofisiologia Humana I
ESZE073-17	Qualidade da Energia Elétrica	Introdução aos Sistemas Elétricos de Potência
ESZB011-17	Qualidade de Imagens Médicas	Princípios de Imagens Médicas; Métodos Matemáticos aplicados a Sistemas Biomédicos
ESZG035-17	Qualidade em Serviços	Qualidade em Sistemas
ESTG016-17	Qualidade em Sistemas	Organização do Trabalho
ESZU016-17	Questões Ambientais Globais	Álgebra Linear; Análise de Sistemas e Modelagem Ambiental; Avaliação de Impactos Ambientais; Biomas Brasileiros; Cálculo Numérico; Caracterização de Matrizes Ambientais; Cartografia e Geoprocessamento; Circuitos Elétricos e Fotônica; Climatologia; Engenharia Econômica; Engenharia Unificada I; Engenharia Unificada II; Estágio Curricular em Engenharia Ambiental e Urbana; Fenômenos de Transporte; Fundamentos de Desenho Técnico; Fundamentos de Geologia para Engenharia; Geotecnia; Habitação e Assentamentos Humanos; Hidráulica de Condutos Forçados; Hidráulica de Condutos Livres; Hidrologia; Introdução às Engenharias; Materiais e Suas Propriedades; Mecânica dos Sólidos I; Métodos Experimentais em Engenharia; Microbiologia Ambiental; Planejamento Urbano e Metropolitano; Poluição Atmosférica; Princípios de Administração; Projeto Ambiental Urbano; Recuperação de Áreas Degradadas; Regulação Ambiental e Urbanística; Representação Gráfica de Projetos Ambientais e Urbanos; Resíduos Sólidos; Saúde Ambiental; Sistema de Abastecimento de Águas; Sistemas de Drenagem Urbana; Sistemas de Esgotamento Sanitário; Sistemas de Tratamento de Água; Teoria do Planejamento Urbano e Ambiental; Trabalho de Graduação I em Engenharia Ambiental e Urbana; Trabalho de Graduação II em Engenharia Ambiental e Urbana; Trabalho de Graduação III em Engenharia Ambiental e Urbana; Transferência de Massa; Transportes e Mobilidade Urbana; Tratamento de Águas Urbanas Servidas
NHZ5014-15	Questões Atuais no Ensino de Ciências	Não há
NHZ2135-18	Questões de Ética	Não há
NHZ2136-18	Questões de Filosofia Política	Não há
ESHC039-17	Questões Metodológicas em Economia	Bases Epistemológicas da Ciência Moderna; Pensamento Econômico; Econometria I; Macroeconomia I; Microeconomia I
ESZU037-17	Química Ambiental	Não há
NHT4051-15	Química Analítica Clássica I	É recomendado que o aluno tenha sido aprovado nas disciplinas obrigatórias do BCT: Estrutura da Matéria; Transformações Químicas
NHT4050-15	Química Analítica Clássica II	É recomendado que o aluno tenha sido aprovado na disciplina Química Analítica Clássica I
NHZ4069-15	Química de Alimentos	Recomenda-se que o aluno tenha feito disciplinas básicas de química e bioquímica.
NHBQ011-22	Química de Coordenação	É recomendado que o aluno tenha sido aprovado nas disciplinas: Estrutura da Matéria; Transformações químicas; Fundamentos de Química; Ligações Químicas; Química dos Elementos
NHBQ012-22	Química de Macromoléculas Biológicas	É recomendado que o aluno tenha sido aprovado nas disciplinas: Transformações Químicas; Bioquímica: estrutura, propriedade e funções de biomoléculas; Química Analítica Clássica I; Química Analítica Clássica II.
ESZE066-17	Química do Petróleo	Transformações Químicas; Funções e Reações Orgânicas
NHBQ013-22	Química dos Elementos	É recomendado que o aluno tenha sido aprovado nas disciplinas: Estrutura da Matéria; Transformações químicas; Fundamentos de Química; Ligações Químicas
NHZ4038-15	Química dos Materiais	Não há
NHZ4066-15	Química Inorgânica Avançada	Ligações Químicas
ESTM016-17	Química Inorgânica de Materiais	Transformações Químicas
NHT4056-15	Química Inorgânica Experimental	Química dos Elementos; Química de Coordenação
NHT4040-15	Química Orgânica Aplicada	Funções e Reações Orgânicas; Mecanismos de Reações Orgânicas; Química Orgânica Experimental
NHBQ014-22	Química Orgânica Experimental	É recomendado que o aluno tenha sido aprovado nas disciplinas: Transformações Químicas; Fundamentos de Reações Orgânicas; Métodos de Análise em Química Orgânica
NHBQ024-22	Quimiometria	É recomendado que o aluno tenha sido aprovado na disciplina de Introdução à Probabilidade e à Estatística.
ESZE038-17	Reações Nucleares	Engenharia Nuclear
ESZM033-17	Reciclagem e Ambiente	Materiais e suas Propriedades
ESTU031-17	Recuperação de Áreas Degradadas	Fundamentos de Geologia para Engenharia
NHZ4074-15	Recursos Didáticos para o Ensino de Química	Não há
ESZU023-17	Recursos Hídricos	Não há
MCZA023-17	Redes Convergentes	Redes de Computadores
ESZA009-17	Redes de Barramento de Campo	Eletrônica Digital
MCTA022-17	Redes de Computadores	Programação Estruturada; Processamento da Informação
ESZE077-17	Redes de Distribuição de Energia Elétrica	Introdução aos Sistemas Elétricos de Potência
MCZA024-17	Redes sem Fio	Redes de computadores
ESZI029-17	Redes WAN de Banda Larga	Redes de Computadores
ESZE100-17	Refino do Petróleo	Engenharia de Petróleo e Gás
BHS0011-23	Reflexões sobre arte e sociedade	Não há
ESZE090-17	Refrigeração e Condicionamento de Ar	Termodinâmica Aplicada II
LHZ0035-19	Região e Regionalização	Não há
ESHR028-21	Regime Internacional dos Direitos Humanos	Introdução ao Direito e Fundamentos do Direito Internacional
ESZR017-14	Regimes de Negociação Ambiental Internacional e a Atuação Brasileira	Não há
ESZR018-14	Regimes de Negociação Comercial Internacional e a Atuação Brasileira	Não há
ESZR019-14	Regimes de Negociação Financeira Internacional e a Atuação Brasileira	Sistema Financeiro Internacional: de Bretton Woods ao non-sistema
ESHP019-22	Regimes e Formas de Governo	Estado e Relações de Poder
ESTU039-17	Regulação Ambiental e Urbanística	Não há
ESZP010-13	Regulação e Agências Reguladoras no Contexto Brasileiro	Não há
ESZE078-17	Regulação e Mercado de Energia Elétrica	Introdução aos Sistemas Elétricos de Potência
LHZ0036-19	Relação Família-Escola na Inclusão Escolar	Não há
ESHC013-21	Relações comerciais e de investimento internacionais	Introdução à Economia; Pensamento Econômico; Microeconomia I; Microeconomia II; Microeconomia III
ESHR014-21	Relações Internacionais Contemporâneas	Formação do Sistema Internacional
ESZR033-21	Relações Internacionais e Arte	Não há
ESHC040-21	Relações monetárias e financeiras internacionais	Introdução à Economia; Macroeconomia I; Macroeconomia II
NHBP012-23	Relatividade Restrita	Óptica e Relatividade; Eletromagnetismo II;  Calculo Vetorial e Tensorial; Mecânica Clássica II
ESTM015-17	Reologia	Fenômenos de Transporte; Mecânica dos Sólidos I
ESTU032-17	Representação Gráfica de Projetos Ambientais e Urbanos	Fundamentos de Desenho Técnico
NHZ1080-15	Reprodução Assistida em Mamíferos	Biologia celular
ESZE045-17	Resíduos Nucleares	Engenharia Nuclear
ESTU033-17	Resíduos Sólidos	Geotecnia; Microbiologia Ambiental
ESZU031-17	Reúso de Água	Tratamento de Águas Urbanas Servidas; Sistemas de Tratamento de Água
ESZU030-17	Riscos No Ambiente Urbano	Não há
ESZA020-17	Robôs Móveis Autônomos	Fundamentos de Robótica
MCZA044-17	Robótica e Sistemas Inteligentes	Programação Orientada a Objetos; Inteligência Artificial
MCZA045-17	Robótica Educacional	Programação Orientada a Objetos; Inteligência Artificial
LCZ0002-19	Robótica Pedagógica com Projetos Interdisciplinares	Bases Computacionais da Ciência
ESZT012-17	Saneamento Ambiental	Não há
ESTU015-17	Saúde Ambiental	Não há
ESZU036-17	Saúde, Determinantes Socioambientais e Equidade	Saúde Ambiental
MCTA023-17	Segurança de Dados	Redes de Computadores; Programação Estruturada; Processamento da Informação
ESZE044-17	Segurança de Instalações Nucleares	Engenharia Nuclear
ESZI031-17	Segurança de Redes	Redes de Computadores
ESZT013-17	Segurança dos Territórios	Não há
NHZ6007-18	Segurança e Regulamentação em Biotecnologia	Biologia Molecular e Biotecnologia; Bioquímica: estrutura, propriedades e funções de biomoléculas; Farmacologia
NHZ4076-20	Segurança em Laboratórios de Química	Transformações Químicas
MCZA025-13	Segurança em Redes	Redes de Computadores
ESHR015-21	Segurança Internacional	Abordagens tradicionais das Relações Internacionais; Pensamento crítico das Relações Internacionais
ESTM013-17	Seleção de Materiais	Materiais Poliméricos; Materiais Cerâmicos; Materiais Metálicos
MCZA046-17	Semântica de Linguagem de Programação	Programação Orientada a Objetos; Lógica Básica; Linguagens Formais e Automata
NHZ2108-18	Seminários de Leitura	Não há
MCZD008-18	Seminários de Modalidades Diversas em Educação Matemática	Não há
MCZD009-18	Seminários de Pesquisa em Educação Matemática I	Não há
MCZD010-18	Seminários de Pesquisa em Educação Matemática II	Não há
ESZM001-17	Seminários em Materiais Avançados	Materiais e suas Propriedades; Ciência dos Materiais
NHZ4042-09	Seminários em Química I	Não há
NHZ4043-15	Seminários em Química II	Não há
MCZC012-15	Sensação e Percepção	Introdução à Neurociência ou Morfofisiologia Humana I; Psicologia Cognitiva
ESTB021-17	Sensores Biomédicos	Circuitos elétricos I
ESTA010-17	Sensores e Transdutores	Dispositivos Eletrônicos
ESZU017-17	Sensoriamento Remoto	Não há
ESZA010-17	Servo-Sistema para Robôs e Acionamento para Sistemas Mecatrônicos	Máquinas Elétricas
ESZM025-17	Siderurgia e Engenharia dos Aços	Materiais Metálicos
MCTD007-18	Simetrias no Plano Euclidiano	Geometria Plana Axiomática; Fundamentos de Álgebra
ESZG007-17	Simulação de Modelos de Gestão	Pesquisa Operacional
ESZI010-17	Simulação de Sistemas de Comunicação	Processamento Digital de Sinais; Comunicação Digital
ESTI005-17	Sinais Aleatórios	Introdução à Probabilidade e à Estatística; Transformadas em Sinais e Sistemas Lineares
ESZP029-22	Sindicalismo e Movimentos Sociais 	Cidadania, Direitos e Desigualdades; Conflitos Sociais; Participação, Movimentos Sociais e Políticas Públicas
ESZM016-17	Síntese de Polímeros	Funções e Reações Orgânicas
ESHR016-21	Sistema Financeiro Internacional	Introdução à Economia; Economia Política Internacional
ESTG021-17	Sistemas CAD/CAE	Não há
ESTA014-17	Sistemas CAD/CAM	Fundamentos de Desenho Técnico
ESTG022-17	Sistemas CAM	Sistemas CAD/CAE
ESTU034-17	Sistemas de Abastecimento de Águas	Hidráulica de Condutos Livres; Hidráulica de Condutos Forçados
ESTA003-17	Sistemas de Controle I	Transformadas em Sinais e Sistemas Lineares
ESTA008-17	Sistemas de Controle II	Sistemas de Controle I
ESTU036-17	Sistemas de Drenagem Urbana	Hidráulica de Condutos Livres; Hidráulica de Condutos Forçados; Hidrologia
ESTU035-17	Sistemas de Esgotamento Sanitário	Hidráulica de Condutos Livres; Hidráulica de Condutos Forçados
MCZA026-17	Sistemas de Gerenciamento de Banco de Dados	Banco de Dados
MCZA027-17	Sistemas de Informação	Não há
ESTG024-17	Sistemas de Informação Corporativos	Gestão de Operações
ESZI019-17	Sistemas de Micro-Ondas	Ondas Eletromagnéticas Aplicadas; Eletrônica Analógica Aplicada
ESZE074-17	Sistemas de Potência I	Introdução aos Sistemas Elétricos de Potência
ESZE009-17	Sistemas de Potência II	Sistemas de Potência I
ESTS017-17	Sistemas de Propulsão I	Dinâmica de Gases
ESZS021-17	Sistemas de Propulsão II	Dinâmica de Gases; Sistemas de Propulsão I
ESTU037-17	Sistemas de Tratamento de Água	Hidráulica de Condutos Livres; Hidráulica de Condutos Forçados; Caracterização de Matrizes Ambientais
MCTA024-13	Sistemas Digitais	Circuitos Digitais; Natureza da Informação; Fenômenos Eletromagnéticos.
MCTA025-13	Sistemas Distribuídos	Redes de Computadores; Algoritmos e Estruturas de Dados II;  Algoritmos e Estruturas de Dados I;Programação Estruturada; Processamento da Informação; Programação Orientada a Objetos; Sistemas Operacionais; Arquitetura de Computadores; Sistemas Digitais; Circuitos Digitais; Natureza da Informação; Fenômenos Eletromagnéticos.
ESTG020-17	Sistemas e Processos de Produção	Introdução aos Processos de Fabricação Metal - Mecânico
ESZB026-17	Sistemas Embarcados para Engenharia Biomédica	Instrumentação Biomédica I; Computação Científica aplicada a Problemas Biológicos
ESZE106-17	Sistemas Fotovoltaicos Conectados à Rede Elétrica	Engenharia Solar Fotovoltaica; Instalações Elétricas I
ESZE107-17	Sistemas Fotovoltaicos Isolados	Engenharia Solar Fotovoltaica; Instalações Elétricas I
ESZI014-17	Sistemas Inteligentes	Programação Estruturada; Álgebra Linear
ESTI013-17	Sistemas Microprocessados	Eletrônica Digital; Dispositivos Eletrônicos
MCZA028-13	Sistemas Multiagentes	Processamento da Informação; Programação Orientada a Objetos
MCZA029-13	Sistemas Multimídia	Computação Gráfica
MCZA047-17	Sistemas Multi-Robôs Sociais	Inteligência Artificial; Sistemas Multiagentes
MCTA026-13	Sistemas Operacionais	Arquitetura de Computadores; Sistemas Digitais; Circuitos Digitais; Natureza da Informação; Fenômenos Eletromagnéticos; Algoritmos e Estruturas de Dados II; Algoritmos e Estruturas de Dados I; Programação Estruturada; Processamento da Informação
ESTE014-17	Sistemas Térmicos	Termodinâmica Aplicada I; Termodinâmica Aplicada II
ESZE072-17	Sistemas Termosolares	Engenharia Solar Térmica
NHT1048-15	Sistemática e Biogeografia	Evolução e Diversificação da Vida na Terra
LHZ0037-19	Socialização e Sociabilidade na Sociedade Contemporânea	Não há
LIZ0001-19	Sociologia da Educação	Não há
ESHT023-17	Sociologia dos Territórios	Não há
ESZE006-17	Subestação e Equipamentos	Introdução aos Sistemas Elétricos de Potência
ESZA015-17	Supervisão e Monitoramento de Processos Energéticos	Automação de Sistemas Industriais
ESZT014-17	Sustentabilidade e Indicadores	Não há
NHBQ015-22	Técnicas Analíticas de Separação	Recomenda-se a matrícula após conclusão das disciplinas: Química Analítica Clássica I; Química Analítica Clássica II; Espectroanalítica Molecular e Atômica
NHZ1081-13	Técnicas Aplicadas a Processos Biotecnológicos	Não há
MCZA050-17	Técnicas Avançadas de Programação	Algoritmos e Estruturas de Dados I
ESTS010-17	Técnicas de Análise Estrutural e Projeto	Mecânica dos Sólidos I
ESZG004-17	Técnicas de Tomadas de Decisão Aplicáveis em Modelos de Dependência	Estatística Aplicada a Sistemas de Gestão
ESZG005-17	Técnicas de Tomadas de Decisão Aplicáveis em Modelos de Interdependência	Técnicas de Tomadas de Decisão aplicáveis em Modelos de Dependência
ESZB009-17	Técnicas Modernas em Fotodiagnóstico	Física Médica I; Introdução à Biofotônica e Óptica Biomédica; Laboratório de Física Médica
ESZB008-17	Técnicas Modernas em Fototerapia	Física Médica I; Introdução à Biofotônica e Óptica Biomédica; Laboratório de Física Médica
ESZE081-17	Tecnologia da Combustão	Termodinâmica Aplicada I; Termodinâmica Aplicada II
NHZ4070-15	Tecnologia de Biomateriais	Não há
ESZM013-17	Tecnologia de Elastômeros	Materiais Poliméricos; Funções e Reações Orgânicas
NHZ6002-18	Tecnologia de Fermentações	Bioquímica: estrutura, propriedades e funções de biomoléculas
ESZI018-17	Tecnologia de Redes Ópticas	Comunicações Ópticas
NHZ3052-15	Tecnologia do Vácuo e Criogenia	Princípios de Termodinâmica; Mecânica Quântica I; Estado Sólido
ESZU033-17	Tecnologias Alternativas de Tratamento de Água e Efluentes	Tratamento de Águas Urbanas Servidas; Sistemas de Tratamento de Água
NHZ5019-22	Tecnologias da Informação e Comunicação na Educação	Não há
ESZP031-13	Tecnologias Sociais	Não há
ESZI040-17	Telefonia Fixa e VoIP	Redes de Computadores; Princípios de Comunicação
ESZB016-17	Telemedicina e Sistemas de Apoio a Decisão	Bioestatística; Gestão de Tecnologia Hospitalar I
ESHP020-13	Temas Contemporâneos	Não há
ESHR002-21	Temas de Direito Internacional Público	Introdução ao estudo do Direito; Fundamentos do Direito Internacional
NHZ2066-18	Temas de Filosofia Antiga	Não há
